id;isi_berita;tema
1;"Penutupan operasional Bandara Soekarno-Hatta beserta sejumlah bandara lain yang terkena dampak abu vulkanik Gunung Anak Krakatau telah berakhir. Mulai Selasa (8/9) pukul 00.01 WIB, operasional bandara kembali berjalan dengan normal. Menteri Perhubungan Dudy Purwagandhi secara langsung menyatakan pembukaan kembali operasional bandara dari Terminal 1 Bandara Soekarno-Hatta, Selasa dini hari (8/9). Sementara bandara Bandara Radin Inten II Lampung serta Bandara Muhammad Taufiq Kiemas Lampung masih menunggu perkembangan lebih lanjut. ""Per tanggal 8 September pukul 00.01 WIB, Bandara Soekarno-Hatta Banten, Bandara Halim Perdanakusuma Jakarta dan Bandara Husein Sastranegara Bandung dinyatakan aktif kembali. Menyusul Bandara Budiarto Curug Banten dan Bandara Pondok Cabe Banten juga kembali dibuka pada pukul 02.25 WIB,"" kata Dudy dalam keterangan tertulis, Selasa (8/9/2026). Untuk memastikan keselamatan dan keamanan penerbangan, pembukaan bandara ini juga disertai dengan sejumlah catatan. Pertama, Otoritas Bandara bersama dengan maskapai harus melakukan inspeksi terhadap semua armada pesawat. Kedua, pilot dan kru operasional pesawat wajib mengetahui restricted polygon, yakni wilayah udara berbentuk poligon (banyak sudut) yang dibatasi atau dilarang oleh otoritas terkait untuk dilintasi karena terdeteksi mengandung sebaran abu vulkanik. Sebelumnya, sebaran abu vulkanik Gunung Anak Krakatau telah berdampak pada ruang udara dan operasional bandar udara sejak Sabtu (5/9). Akibatnya, sebanyak delapan bandara, meliputi Bandara Soekarno-Hatta Banten, Bandara Halim Perdanakusuma Jakarta, Bandara Radin Inten II Lampung, Bandara Husein Sastranegara Bandung, Bandara Budiarto Curug Banten, Bandara Pondok Cabe Banten, Bandara Taufik Kiemas di Pesisir Barat Lampung, serta Bandara Atung Bungsu di Pagar Alam Sumsel mengalami penutupan operasional. Berdasarkan pembaruan kondisi operasional, bandara Atung Bungsu di Pagar Alam, Sumatera Selatan yang sempat ditutup, sudah dapat beroperasi secara normal per Senin (7/9) pukul 09.00 WIB. Dudy meminta maskapai terus berkoordinasi dengan pengelola bandara, otoritas serta instansi terkait untuk memastikan operasional dapat dilakukan secara aman dan selamat. (hal/ara)";finance
2;"InJourney Airports menjamin kesiapan operasional tiga bandara besar yang dibuka lagi usai paparan abu vulkanik erupsi Gunung Anak Krakatau. Bandara Soekarno-Hatta, Bandara Halim Perdanakusuma, dan Bandara Husein Sastranegara telah siap digunakan untuk lepas landas dan mendarat. Sebagai operator, InJourney telah membersihkan abu vulkanik di seluruh sisi landasan udara (air side) yakni area apron, taxiway, dan juga runway. Uji kekesatan di runway juga sudah dilakukan dan menunjukkan fasilitas tersebut memenuhi standar serta persyaratan untuk melayani operasional penerbangan. ""Fasilitas sisi udara (air side) dan sisi darat (land side) ketiga bandara siap kembali melayani penerbangan. Seluruh personel operasi dan layanan bandara juga dipastikan siap,"" kata Corporate Secretary Group Head InJourney Airports Arie Ahsanurrohim dalam keterangannya, Selasa (8/9/2026). Sesuai NOTAM dari AirNav Indonesia, status resumed operations atau operasi kembali untuk Bandara Soekarno-Hatta Tangerang telah diberikan pada 8 September 2026 mulai pukul 00.30 WIB. Kemudian status resumed operations yang sama untuk Bandara Halim Perdanakusuma diberikan pada 8 September 2026 mulai pukul 00.40 WIB, dan status resumed operations pada Bandara Husein Sastranegara diberikan 8 September 2026 mulai pukul 00.42 WIB. General Manager Bandara Soekarno-Hatta Heru Karyadi menambahkan pembukaan kembali operasional Bandara Soekarno-Hatta dilakukan secara bertahap dengan tetap mengutamakan aspek keselamatan, termasuk melalui penerapan Air Traffic Flow Management (ATFM) sebagai bagian dari strategi pengendalian arus lalu lintas penerbangan pada fase awal pemulihan. ""Pada fase awal recovery, pengendalian penerbangan dilakukan secara bertahap dan terukur melalui penerapan ATFM. Pengaturan ini diperlukan agar arus keberangkatan dan kedatangan dapat kembali berjalan dengan aman dan tertib, sekaligus memungkinkan kapasitas operasional bandara dipulihkan secara bertahap,"" ujar Heru Karyadi dalam keterangan yang sama. Lebih lanjut, pengaturan arus penerbangan pada fase awal pemulihan mempertimbangkan kondisi operasional di lapangan, termasuk kebutuhan untuk mempercepat keberangkatan pesawat yang sebelumnya terdampak serta mengembalikan kapasitas apron secara bertahap. Bandara Soekarno-Hatta juga telah berkoordinasi dengan seluruh operator transportasi publik untuk memastikan ketersediaan armada untuk mendukung mobilitas dari dan ke Bandara Soekarno-Hatta. ""Calon penumpang diimbau untuk senantiasa memantau dan memastikan status serta jadwal penerbangannya melalui kanal resmi maskapai masing-masing sebelum berangkat menuju bandara tujuan, mengingat adanya penyesuaian jadwal penerbangan,"" ujar Heru. (hal/ara)";finance
3;"Menteri Keuangan (Menkeu) Purbaya Yudhi Sadewa menanggapi rencana Gubernur DKI Jakarta Pramono Anung yang tetap ingin menerbitkan obligasi daerah. Purbaya menilai kondisi keuangan Jakarta sudah mencukupi sehingga tidak perlu mengambil langkah tersebut. ""Ya nggak apa-apa kalau mau terbitin, terbitin aja. Kan itu Pemda punya ini sendiri. Cuma kalau saya pikir ya, pandangan saya aja ya, kalau uangnya kebanyakan, buat apa ngutang?"" ujar Purbaya di Gedung DPR RI, Jakarta Pusat, Senin (7/9/2026). Kendati begitu, Purbaya tetap mempersilakan Pemprov DKI Jakarta apabila memang instrumen itu dirasa mendesak. ""Tapi kalau emang terasa perlu, ya enggak apa-apa, itu kan otonomi sendiri,"" tambah ia. Ketika ditanya soal permintaan Pramono agar Dana Bagi Hasil (DBH) dicairkan jika penerbitan obligasi tidak diperbolehkan, Purbaya justru mempertanyakan posisi tawar tersebut. Ia menegaskan penahanan penyaluran DBH untuk wilayah DKI Jakarta telah sesuai dengan aturan perundang-undangan yang berlaku. ""Emang dia bisa neken ya? Ya nggak tahu, kita lihat nanti ke depan. (DBH ditahan) kan disesuaikan dengan kondisi keuangan pemerintah kan DBH itu di undang-undang APBN seperti itu,"" beber Purbaya. Lebih lanjut, dirinya akan mempelajari terlebih dahulu terkait kewajiban izin penerbitan obligasi daerah ke pemerintah pusat. Ia juga mengingatkan agar pemda tetap berhati-hati dalam mengambil kebijakan fiskal. ""Harus izin kita kalau mau terbitin bond? Nanti saya pelajari deh. Saya enggak tahu, jadi saya pikir harusnya sih enggak, tapi harus hati-hati aja gitu,"" jelasnya. Sebelumnya, Gubernur DKI Jakarta Pramono Anung Wibowo menegaskan akan tetap mengajukan penerbitan obligasi daerah sebagai instrumen untuk membiayai sejumlah pembangunan di Jakarta. Hal itu dikatakan Pramono dalam menanggapi Menteri Keuangan Purbaya Yudhi Sadewa yang meminta agar pemerintah daerah (pemda) tidak terburu-buru menerbitkan obligasi daerah. ""Karena bagaimana pun Pemerintah DKI Jakarta kan tahu kebutuhan itu. Pak Purbaya menyampaikan bahwa duit DKI banyak. Kan kami juga disuruh bangun yang banyak juga. Dan untuk bangun itu kan perlu duit,"" kata Pramono, dikutip dari Antara. Pramono mengatakan meski ia mendengarkan dan mematuhi hal tersebut, dirinya akan tetap mengajukan obligasi daerah untuk Jakarta. Ia meminta agar DBH dari pemerintah pusat dikembalikan ke jumlah semula, jika memang pemerintah daerah diminta tidak terburu-buru menerbitkan obligasi. (rea/acd)";finance
4;"AirNav Indonesia kembali memperbarui informasi aeronautika terkait kondisi operasional sejumlah bandar udara seiring perkembangan sebaran abu vulkanik Gunung Anak Krakatau. Berdasarkan pembaruan Notice to Airmen (NOTAM), tujuh bandar udara yang sebelumnya berstatus closed masih mengalami perpanjangan penutupan hingga estimasi pukul 23.59 WIB, 7 September 2026. ""Penyesuaian status operasional bandar udara tersebut merupakan langkah mitigasi untuk mendukung keselamatan penerbangan dengan mempertimbangkan kondisi sebaran abu vulkanik Gunung Anak Krakatau,"" kata EVP of Corporate Secretary AirNav Indonesia, Hermana Soegijantoro, dalam keterangan tertulis, Senin (7/9/2026). Adapun bandar udara yang masih berstatus closed tersebut yaitu: 1. Bandar Udara Halim Perdanakusuma (HLP), status CLOSED berdasarkan NOTAM A3386/26 NOTAMR A3372/26, mulai pukul 17.29 WIB hingga estimasi pukul 23.59 WIB. 2. Bandar Udara Radin Inten II, Lampung (TKG), status CLOSED berdasarkan NOTAM B1153/26 NOTAMR B1142/26, mulai pukul 17.36 WIB hingga estimasi pukul 23.59 WIB. 3. Bandar Udara Husein Sastranegara, Bandung (BDO), status CLOSED berdasarkan NOTAM C1116/26 NOTAMR C1109/26, mulai pukul 17.41 WIB hingga estimasi pukul 23.59 WIB. 4. Bandar Udara Budiarto, Curug (RTO), status CLOSED berdasarkan NOTAM C1115/26 NOTAMR C1108/26, mulai pukul 17.39 WIB hingga estimasi pukul 23.59 WIB. 5. Bandar Udara Pondok Cabe (PCB), status CLOSED berdasarkan NOTAM C1118/26 NOTAMR C1111/26, mulai pukul 17.47 WIB hingga estimasi pukul 23.59 WIB. 6. Bandar Udara Muhammad Taufiq Kiemas (WILP), status CLOSED berdasarkan NOTAM C1117/26 NOTAMR C1110/26, mulai pukul 17.45 WIB hingga estimasi pukul 23.59 WIB. 7. Bandar Udara Salakanagara Tanjung Lesung, Pandeglang (WIHI), status CLOSED berdasarkan NOTAM C1119/26 NOTAMR C1112/26, mulai pukul 17.50 WIB hingga estimasi pukul 23.59 WIB. Menurut Hermana, AirNav Indonesia terus melakukan pemantauan terhadap perkembangan kondisi ruang udara dan sebaran abu vulkanik Gunung Anak Krakatau. Informasi aeronautika akan terus diperbarui sesuai perkembangan kondisi aktual dan informasi keselamatan penerbangan. ""AirNav Indonesia juga terus berkoordinasi dengan pemangku kepentingan penerbangan untuk memastikan informasi mengenai kondisi ruang udara dan pelayanan navigasi penerbangan tersampaikan secara tepat waktu,"" tutup Hermana. (acd/acd)";finance
5;"Menteri Keuangan Purbaya Yudhi Sadewa buka suara merespons isu pemindahan payroll atau pembayaran gaji aparatur sipil negara (ASN) pemerintah daerah (Pemda) ke bank BUMN. Purbaya menegaskan tidak ada kebijakan dari pemerintah pusat terkait pemindahan tersebut. Isu pengalihan pembayaran gaji ASN dari Bank Pembangunan Daerah (BPD) ke bank BUMN sebelumnya muncul dalam Rapat Dengar Pendapat Umum (RDPU) DPR RI bersama Serikat Pekerja Bank Pembangunan Daerah Seluruh Indonesia (SPBDSI), Kamis (3/9/2026). ""Nggak ada. Itu bukan dari kita, kita nggak ada kebijakan seperti itu. Kita seperti biasa aja,"" kata Purbaya di Kompleks Istana Kepresidenan, Jakarta, Senin (7/9/2026). Namun, Purbaya mengaku tidak mengetahui apabila masing-masing Pemda memiliki kebijakan sendiri terkait pengelolaan payroll ASN di wilayahnya. Purbaya pun kembali menegaskan hingga saat ini tidak ada rencana pemerintah pusat untuk mengubah mekanisme transfer yang berjalan. ""Tapi kalau Pemda-nya yang ngatur, ya saya nggak tahu. Tapi dari pemerintah pusat nggak ada seperti itu. Jadi nggak ada rencana perubahan transfer, cara transfer sampai sekarang ya,"" tegas Purbaya. Sebelumnya, isu ini menjadi sorotan dari pekerja BPD karena dinilai berpotensi mengancam keberlangsungan pekerjaan ratusan ribu pegawai hingga berujung pada Pemutusan Hubungan Kerja (PHK). Perwakilan SPBDSI Sigit mengatakan pengalihan payroll ASN dapat menimbulkan dampak berantai terhadap tenaga kerja, bisnis BPD, hingga perekonomian daerah. Kebijakan tersebut juga dikhawatirkan membuat dana murah atau Current Account Saving Account (CASA) yang dikelola BPD berkurang signifikan. ""Jika payroll ASN ini dipindah dari BPD ke Himbara, maka otomatis dana CASA dari BPD ini akan berkurang cukup signifikan. Dengan berkurangnya dana CASA, likuiditas dari BPD otomatis akan menurun,"" kata Sigit, sebagaimana dilansir CNN Indonesia. (hns/hns)";finance
6;"PT Pertamina Patra Niaga memperkuat pengawasan penyaluran BBM Subsidi untuk memastikan distribusi berjalan sesuai ketentuan dan tepat sasaran kepada masyarakat yang berhak. Upaya tersebut salah satunya dilakukan melalui inspeksi mendadak (sidak) bersama Kepolisian Daerah Sumatera Barat dan Pemerintah Provinsi Sumatera Barat ke sejumlah Stasiun Pengisian Bahan Bakar Umum (SPBU) di Kota Padang. Kegiatan ini melibatkan Kepala Dinas Energi dan Sumber Daya Mineral (ESDM) Provinsi Sumatera Barat Helmi Heriyanto, perwakilan Subdit IV Direktorat Reserse Kriminal Khusus Polda Sumatera Barat Kompol Firdaus, serta Sales Area Manager Retail Sumatera Barat Pertamina Patra Niaga Fakhri Rizal Hasibuan. Dalam sidak tersebut, tim melakukan pemeriksaan secara langsung terhadap proses penyaluran BBM Subsidi, kesesuaian transaksi, penggunaan QR Code, kondisi sarana dan prasarana, serta aspek kepatuhan lainnya pada lembaga penyalur. Berdasarkan hasil pemantauan di lapangan, operasional dan pelayanan kepada masyarakat di SPBU yang diperiksa berjalan normal. Tim juga menemukan indikasi kendaraan dengan nomor polisi yang tidak sesuai pada pengisian BBM Subsidi. Namun, pihak SPBU tidak melakukan pengisian terhadap kendaraan tersebut sebagai bentuk kepatuhan terhadap ketentuan yang berlaku. Vice President Corporate Communication PT Pertamina Patra Niaga Kitty Andhora mengatakan pengawasan penyaluran BBM Subsidi membutuhkan sinergi antara Pertamina, pemerintah daerah, dan aparat penegak hukum. ""Pertamina Patra Niaga terus memperkuat pengawasan, baik melalui pemeriksaan langsung di lapangan maupun pemanfaatan sistem digital, untuk memastikan BBM Subsidi disalurkan sesuai ketentuan dan diterima oleh masyarakat yang berhak. Kolaborasi dengan pemerintah daerah dan aparat penegak hukum juga terus kami lakukan untuk memastikan setiap indikasi pelanggaran dapat ditindaklanjuti secara tepat,"" ujar Kitty dalam keterangan tertulis, Senin (7/9/2026). Sebagai bagian dari upaya memastikan penyaluran BBM Jenis BBM Tertentu (JBT) dan Jenis BBM Khusus Penugasan (JBKP) tepat sasaran, Sales Area Retail Sumatera Barat telah menerbitkan 31 sanksi berupa pembinaan dan pemberhentian pasokan sementara selama 2026 terhadap lembaga penyalur yang terbukti melakukan pelanggaran sesuai dengan ketentuan yang berlaku. Selain itu, telah diajukan permintaan pemblokiran terhadap sekitar 5.000 nomor polisi kendaraan yang terindikasi melakukan pembelian BBM secara berulang. Pertamina Patra Niaga juga telah mengajukan permintaan penghapusan data terhadap ribuan nomor polisi yang terindikasi melakukan pola pembelian tidak sesuai dengan ketentuan. Sebagai bagian dari penguatan tata kelola lembaga penyalur, Sales Area Retail Sumatera Barat juga telah melakukan alih pengelolaan terhadap 3 SPBU pada 2026. Langkah tersebut antara lain dilakukan berdasarkan rekomendasi dari surat pembinaan yang telah diterbitkan. Dengan demikian, total SPBU yang telah dilakukan alih pengelolaan di wilayah Sumatera Barat mencapai 6 SPBU. ""Setiap temuan yang terbukti merupakan pelanggaran akan kami tindaklanjuti sesuai mekanisme dan ketentuan yang berlaku, mulai dari pembinaan hingga pemberian sanksi. Kami tidak memberikan toleransi terhadap penyalahgunaan dalam penyaluran BBM Subsidi karena hal tersebut dapat mengurangi hak masyarakat yang seharusnya menerima manfaat,"" tegas Kitty. Pertamina Patra Niaga terus mengembangkan pengawasan berbasis data dan digital, termasuk melalui pemanfaatan QR Code dan pemantauan pola transaksi. Langkah ini dilakukan untuk meningkatkan akurasi dan transparansi penyaluran sekaligus mendeteksi lebih dini indikasi pembelian yang tidak sesuai dengan ketentuan. Pertamina Patra Niaga mengimbau seluruh lembaga penyalur untuk menjalankan kegiatan operasional secara profesional, transparan, dan bertanggung jawab serta mematuhi seluruh ketentuan yang berlaku. Masyarakat juga diimbau melakukan pembelian BBM sesuai kebutuhan dan peruntukannya. Apabila menemukan indikasi penyalahgunaan atau penyelewengan dalam proses penyaluran BBM, masyarakat dapat menyampaikan laporan melalui Pertamina Contact Center 135. Pertamina Patra Niaga bersama pemerintah daerah dan aparat penegak hukum akan terus memperkuat koordinasi dan pengawasan untuk menjaga tata kelola distribusi BBM, meningkatkan kepatuhan lembaga penyalur, serta memastikan BBM Subsidi dapat diterima secara tepat sasaran oleh masyarakat yang berhak. (hns/hns)";finance
7;"AirNav Indonesia kembali memperbarui informasi aeronautika terkait kondisi operasional Bandara Internasional Soekarno-Hatta seiring perkembangan sebaran abu vulkanik Gunung Anak Krakatau. Berdasarkan pembaruan Notice to Airmen (NOTAM) A3387/26 (NOTAMR A3373/26), Bandara Internasional Soekarno-Hatta masih berstatus closed atau ditutup akibat abu vulkanik Gunung Anak Krakatau. Penutupan berlaku mulai pukul 17.33 WIB, dengan estimasi dibuka kembali pada pukul 23.59 WIB, 7 September 2026. ""NOTAM A3387/26 tersebut merupakan pembaruan atas NOTAM A3373/26 yang sebelumnya menetapkan periode penutupan hingga estimasi pukul 18.00 WIB,"" kata EVP of Corporate Secretary AirNav Indonesia, Hermana Soegijantoro dalam keterangan tertulis, Senin (7/9/2026). Hermana mengatakan, penyesuaian periode penutupan tersebut merupakan langkah mitigasi untuk mendukung keselamatan penerbangan dengan mempertimbangkan kondisi sebaran abu vulkanik Gunung Anak Krakatau. AirNav Indonesia terus melakukan pemantauan terhadap perkembangan kondisi ruang udara dan sebaran abu vulkanik Gunung Anak Krakatau. Informasi aeronautika akan terus diperbarui sesuai perkembangan kondisi aktual dan informasi keselamatan penerbangan. ""AirNav Indonesia juga terus berkoordinasi dengan pemangku kepentingan penerbangan untuk memastikan informasi mengenai kondisi ruang udara dan pelayanan navigasi penerbangan tersampaikan secara tepat waktu,"" tutup Hermana. (acd/acd)";finance
8;"Otoritas Jasa Keuangan (OJK) mencatat total utang masyarakat Indonesia pada layanan Peer to Peer (P2P) Lending atau pinjaman online (pinjol) mencapai Rp 105,63 triliun pada Juli 2026. Kepala Eksekutif Pengawas Lembaga Pembiayaan, Perusahaan Modal Ventura, Lembaga Keuangan Mikro dan Lembaga Jasa Keuangan Lainnya OJK, Agusman mengatakan jumlah tersebut meningkat 24,76% secara tahunan (year-on-year/yoy). ""Pada industri pinjaman daring atau pindar, outstanding pembiayaan pada Juli 2026 tumbuh 24,76% year-on-year dengan nominal sebesar Rp 105,63 triliun,"" terang Agusman dalam konferensi pers RDKB Agustus secara online, Senin (7/9/2026). Agusman menjelaskan tingkat risiko kredit macet secara agregat atau TWP90 fintech P2P lending pada Juli 2026 berada di posisi 4,32%. Angka ini juga meningkat jika dibandingkan dengan bulan sebelumnya, yakni 4,26%. ""Tingkat risiko kredit macet secara agregat atau TWP90 tercatat di posisi 4,32%"" terang Agusman. Pada industri pergadaian, Agusman menyampaikan penyaluran pembiayaan pada Juli 2026 tumbuh sebesar 50,73% year-on-year menjadi Rp 160,78 triliun, dengan pembiayaan terbesar disalurkan dalam bentuk produk gadai yaitu sebesar Rp 136,39 triliun atau 84,83% dari total pembiayaan. OJK telah memberikan persetujuan peningkatan lingkup wilayah usaha menjadi nasional kepada dua perusahaan pergadaian, yaitu PT Pusat Gadai Indonesia dan PT Raja Gadai Indonesia. ""Dengan demikian, saat ini terdapat 5 perusahaan pergadaian dengan lingkup wilayah usaha nasional,"" tutur Agusman. (hrp/hns)";finance
9;"AirNav Indonesia mengumumkan masih ada tiga bandara yang operasinya ditutup imbas sebaran abu vulkanik. Ketiga bandara tersebut adalah Bandara Radin Inten II Lampung, Bandara Muhammad Taufiq Kiemas Lampung, dan Bandara Salakanagara Tanjung Lesung. Penutupan bandara dilakukan hingga pukul 10.00 WIB pagi ini berdasarkan pembaruan informasi aeronautika yang diterbitkan AirNav Indonesia melalui NOTAM terbaru. Penerbitan NOTAM tersebut mengacu pada perubahan kondisi sebaran abu yang berdampak terhadap operasional penerbangan, sehingga berdasarkan evaluasi keselamatan dan informasi aeronautika terbaru, sejumlah bandar udara dapat kembali beroperasi. ""Selain itu, perkembangan kondisi di lapangan juga menjadi bagian dari pemantauan, antara lain dengan memerhatikan hasil paper test volcanic ash yang dilakukan secara berkala pada 7 September 2026 di lokasi bandara-bandara terdampak,"" tulis AirNav dalam keterangan resminya, Selasa (8/9/2026). Sementara itu, sudah ada enam bandara lainnya yang kembali dibuka sejak tengah malam setelah sempat ikut ditutup imbas abu vulkanik sejak hari Minggu kemarin, termasuk Bandara Soekarno-Hatta yang menjadi bandara tersibuk di Indonesia. Detail Status Operasional Bandara 1. Bandar Udara Internasional Soekarno-Hatta (WIII) kembali berstatus OPEN AND RESUMED OPERATIONS berdasarkan NOTAM A3395/26 NOTAMR A3387/26, mulai pukul 00.30 WIB pada 8 September 2026. NOTAM tersebut juga mengingatkan bahwa awan abu vulkanik Gunung Anak Krakatau masih persisten di dalam FIR dan pilot diminta berhati-hati selama proses kedatangan dan keberangkatan. 2. Bandar Udara Halim Perdanakusuma (WIHH) kembali berstatus OPEN berdasarkan NOTAM A3396/26 NOTAMR A3386/26, mulai pukul 00.40 WIB pada 8 September 2026. 3. Bandar Udara Husein Sastranegara (WICC), Bandung, kembali berstatus OPEN berdasarkan NOTAM C1123/26 NOTAMR C1116/26, mulai pukul 00.42 WIB pada 8 September 2026. 4. Bandar Udara Budiarto (WIRR), Tangerang, kembali berstatus OPEN berdasarkan NOTAM C1126/26 NOTAMR C1115/26, mulai pukul 01.25 WIB pada 8 September 2026. 5. Bandar Udara Pondok Cabe (WIHP), Tangerang Selatan, kembali berstatus OPEN berdasarkan NOTAM C1127/26 NOTAMR C1118/26, mulai pukul 01.28 WIB pada 8 September 2026. 6. Bandar Udara Pagar Alam/Atung Bungsu (WIPY), Pagar Alam, telah lebih dahulu kembali berstatus OPEN berdasarkan NOTAM C1107/26 NOTAMC C1105/26, mulai pukul 08.12 WIB pada 7 September 2026. 7. Bandar Udara Radin Inten II (WILL), Lampung, masih berstatus CLOSED hingga estimasi pukul 10.00 WIB pada 8 September 2026. 8. Bandar Udara Muhammad Taufiq Kiemas (WILP), masih berstatus CLOSED hingga estimasi pukul 10.00 WIB pada 8 September 2026. 9. Bandar Udara Salakanagara Tanjung Lesung (WIHI), Pandeglang, masih berstatus CLOSED hingga estimasi pukul 10.00 WIB pada 8 September 2026.";finance
10;"Serikat buruh mulai mengusulkan kenaikan upah minimum tahun 2027. Berdasarkan perhitungan yang dilakukan, buruh mengusulkan upah tahun depan naik sebesar 7-9%. Menurut Presiden Konfederasi Serikat Pekerja Indonesia (KSPI) Said Iqbal, kenaikan upah minimum akan mempertimbangkan inflasi, pertumbuhan ekonomi, dan indeks tertentu atau alfa. Nilai alfa yang diusulkan adalah 0,5 sampai 0,9. ""Buruh akan mengusulkan kenaikan upah minimum 2027 berdasarkan inflasi, pertumbuhan ekonomi, dan indeks tertentu. Indeks tertentu yang kami usulkan dari buruh setidak-tidaknya dari KSPI dan KSP-PB adalah 0,5 sampai 0,9,"" kata Said di kompleks DPR RI Senayan, Jakarta, Senin (7/9/2026). Ia memperkirakan inflasi berada di kisaran 3%, sedangkan rata-rata pertumbuhan ekonomi sekitar 5,2-5,3%. Berdasarkan perhitungan tersebut, Said mengusulkan kenaikan upah minimum 2027 berada pada kisaran 7,5-8,5%. ""Kalau diambil rata-rata (pertumbuhan ekonomi) 5,2% atau 5,3%, ditambah inflasi 3 sekian persen, kita udah ketemu tuh kira-kira 8,4% atau 8,5%. Dikalikan aja 0,9 (alfa). Maka bisa diperkirakan kenaikan upah minimum 2027 itu adalah berkisar 7,5% sampai dengan 8,5%,"" jelas dia. Sebagai informasi, penghitungan kenaikan upah minimum 2026 menggunakan formula inflasi + (pertumbuhan ekonomi x alfa). Pemerintah menetapkan rentang alfa sebesar 0,5-0,9. Alfa merupakan indeks tertentu yang menggambarkan kontribusi tenaga kerja terhadap pertumbuhan ekonomi. Besaran alfa menjadi salah satu komponen yang menentukan persentase kenaikan upah minimum. Said menegaskan usulannya masih berupa perkiraan. Besaran usulan masih menunggu data resmi Badan Pusat Statistik (BPS) mengenai inflasi dan pertumbuhan ekonomi yang menjadi dasar penghitungan upah minimum. ""Tentu menunggu laporan resmi BPS tentang inflasi dan pertumbuhan ekonominya, dihitung bukan tahun kalender tapi tahun takwim. September 2025 sampai Oktober 2026. Berarti menunggu BPS. Kan kita belum tau September dan Oktober berapa inflasi dan berapa pertumbuhan ekonominya,"" jelas dia. Usul Dibagi 3 Kategori Sementara itu, Presiden Konfederasi Serikat Pekerja Nusantara (KSPN) Ristadi menyoroti kesenjangan upah minimum antardaerah yang dinilai semakin lebar. Ristadi mencontohkan upah minimum di Cirebon sekitar Rp 2,8 juta, sedangkan Kota Bekasi sudah mencapai sekitar Rp 5,9 juta. ""Selisihnya sudah 100% lebih, misal Cirebon Rp 2,8 juta, di kota Bekasi sudah Rp 5,9 juta, ini sudah termasuk ekstrem. Maka secara prinsip KSPN sedang meminta reformasi aturan upah minimum melalui UU Ketenagakerjaan yang baru yang sedang proses dibahas di DPR,"" kata Ristadi dihubungi detikcom. Dengan skema tersebut, pekerja pada sektor industri sejenis akan memiliki upah minimum yang sama di seluruh Indonesia. Sistem tersebut dinilai dapat memberikan keadilan bagi pekerja sekaligus menciptakan persaingan yang lebih sehat bagi pengusaha. Apabila sistem pengupahan tahun depan masih menggunakan formula yang berlaku saat ini, KSPN mengusulkan persentase kenaikannya tidak disamaratakan di seluruh Indonesia. Usulan Upah Minimum Dibagi 3 Kategori 1. Upah Minimum di atas Rp 4,5 juta = 3,5% + (5,7% x 0,6) = 3,5% + 3,42% = 6,92% bulatkan 7% 2. Upah Minimum Rp 3,5 juta sampai dengan Rp 4,5 juta = 3,5% + (5,7% x 0,8) = 3,5% + 4,56% = 8,06% bulatkan 8% 3. Upah Minimum di bawah Rp 3,5 juta = 3,5% + (5,7% x 1) = 3,5% + 5,7% = 9,2%";finance
